epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,8138.86,0.48914,0.33993,0.86996,0.93697,0.69577,0.75099,0.66996,0.39996,0.34214,0.72549,0.001928,0.001928,0.001928
136,8198.06,0.49325,0.33952,0.87669,0.95371,0.68739,0.74121,0.66353,0.39091,0.27525,0.68052,0.00192,0.00192,0.00192
137,8256.96,0.4922,0.33602,0.87236,0.93504,0.70126,0.75007,0.66561,0.37763,0.26665,0.67542,0.001912,0.001912,0.001912
138,8316.19,0.46658,0.32377,0.86914,0.92155,0.70387,0.74558,0.66166,0.35859,0.26983,0.64901,0.001904,0.001904,0.001904
139,8375.35,0.44321,0.30751,0.86814,0.91318,0.71165,0.75451,0.67064,0.37322,0.28811,0.68075,0.001896,0.001896,0.001896
140,8434.34,0.46514,0.325,0.86634,0.90691,0.71268,0.75197,0.66961,0.38923,0.28442,0.69107,0.001888,0.001888,0.001888
141,8493.52,0.48474,0.33147,0.86867,0.93306,0.71467,0.7588,0.67022,0.38139,0.28847,0.68279,0.00188,0.00188,0.00188
142,8552.65,0.47594,0.32639,0.86749,0.90062,0.70684,0.75238,0.66533,0.4019,0.35026,0.7067,0.001872,0.001872,0.001872
143,8616.26,0.45017,0.31669,0.86888,0.91984,0.70135,0.75326,0.67255,0.36309,0.27167,0.65859,0.001864,0.001864,0.001864
144,8678.85,0.45203,0.31317,0.86672,0.91288,0.70985,0.755,0.67249,0.38834,0.28396,0.68988,0.001856,0.001856,0.001856
145,8737.92,0.46835,0.31751,0.86476,0.91241,0.71373,0.76018,0.67373,0.38253,0.28749,0.67955,0.001848,0.001848,0.001848
146,8797.06,0.45989,0.31519,0.86708,0.91388,0.70581,0.75929,0.67212,0.3939,0.30536,0.67982,0.00184,0.00184,0.00184
147,8856.15,0.44925,0.31264,0.86623,0.91355,0.69355,0.74219,0.66235,0.37626,0.28834,0.67388,0.001832,0.001832,0.001832
148,8915.14,0.45204,0.31227,0.86451,0.89203,0.70875,0.75904,0.66867,0.39702,0.29776,0.68207,0.001824,0.001824,0.001824
149,8974.39,0.44116,0.31017,0.86567,0.91587,0.70107,0.75113,0.66771,0.387,0.29853,0.69545,0.001816,0.001816,0.001816
150,9033.53,0.4607,0.31455,0.86935,0.92643,0.70319,0.76008,0.67315,0.38615,0.29835,0.69295,0.001808,0.001808,0.001808
151,9092.69,0.45876,0.31617,0.86388,0.91504,0.70439,0.75437,0.66986,0.37543,0.308,0.68256,0.0018,0.0018,0.0018
152,9151.83,0.44427,0.31149,0.86457,0.87699,0.70085,0.75285,0.6611,0.36667,0.30687,0.66657,0.001792,0.001792,0.001792
153,9210.89,0.46512,0.32163,0.86927,0.91572,0.70433,0.75557,0.67224,0.38753,0.27396,0.67924,0.001784,0.001784,0.001784
154,9270.05,0.46902,0.3237,0.87134,0.94061,0.68762,0.73798,0.65582,0.39462,0.30148,0.69329,0.001776,0.001776,0.001776
155,9329.42,0.45531,0.3153,0.86403,0.94914,0.68649,0.74517,0.65974,0.40047,0.30632,0.69552,0.001768,0.001768,0.001768
156,9388.52,0.45508,0.31534,0.87232,0.92781,0.70482,0.75359,0.67042,0.38443,0.29608,0.68548,0.00176,0.00176,0.00176
157,9447.74,0.46659,0.31928,0.86539,0.93927,0.70383,0.75426,0.66791,0.38059,0.30595,0.67395,0.001752,0.001752,0.001752
158,9506.84,0.45405,0.31534,0.86541,0.97728,0.68399,0.74923,0.67052,0.36973,0.27357,0.67968,0.001744,0.001744,0.001744
159,9565.83,0.46344,0.31809,0.86445,0.95692,0.68707,0.75449,0.67162,0.37348,0.30506,0.67306,0.001736,0.001736,0.001736
160,9625,0.45101,0.30958,0.86675,0.93337,0.70385,0.75447,0.66974,0.39324,0.35843,0.70508,0.001728,0.001728,0.001728
161,9684.08,0.4699,0.31687,0.86515,0.91619,0.7133,0.75731,0.67095,0.38595,0.27118,0.67724,0.00172,0.00172,0.00172
162,9743.31,0.45823,0.31527,0.86883,0.92723,0.70027,0.75025,0.67143,0.3548,0.26145,0.6597,0.001712,0.001712,0.001712
163,9802.67,0.44797,0.31169,0.86192,0.94804,0.68715,0.75308,0.67281,0.36745,0.26884,0.6754,0.001704,0.001704,0.001704
164,9862.09,0.45168,0.30689,0.85645,0.91684,0.71333,0.7571,0.67256,0.36494,0.28022,0.66714,0.001696,0.001696,0.001696
165,9921.35,0.44129,0.31129,0.86302,0.92185,0.71081,0.75902,0.67669,0.36558,0.28486,0.67287,0.001688,0.001688,0.001688
166,9980.64,0.43489,0.30398,0.8636,0.94971,0.70373,0.75936,0.67506,0.38984,0.30551,0.69862,0.00168,0.00168,0.00168
167,10040.1,0.4502,0.31344,0.86453,0.96063,0.70278,0.76536,0.68232,0.39621,0.31578,0.69029,0.001672,0.001672,0.001672
168,10099.3,0.4404,0.31335,0.86286,0.93833,0.6953,0.75762,0.67632,0.37226,0.28263,0.6861,0.001664,0.001664,0.001664
169,10158.6,0.45576,0.31363,0.86733,0.91413,0.69539,0.7494,0.67037,0.37484,0.32871,0.68313,0.001656,0.001656,0.001656
170,10217.8,0.45569,0.31044,0.86109,0.9267,0.69349,0.7562,0.6661,0.36865,0.32013,0.67486,0.001648,0.001648,0.001648
